Datum,Fenster,Coin,Ticker,Chain,Post_Zeit,Kurs_bei_Post_USD,Kurs_bei_Post_Methode,Kurs_22Uhr_USD,Veraenderung_Prozent,Status
2026-07-29,Test-Erstlauf (manuell),Broetchen,Broetchen,solana,12:05,0.0008480,rekonstruiert,0.0006024,-28.96,"beobachtet (Nachbeobachtung ca. 23:35 statt 22:00 - Task-Fehler heute, siehe Hinweis)"
2026-07-29,Test-Erstlauf (manuell),PLAY STATE,PLYSTT,solana,12:05,0.0000029587,rekonstruiert,0.000002742,-7.32,"beobachtet (Nachbeobachtung ca. 23:35 statt 22:00 - Task-Fehler heute, siehe Hinweis)"
2026-07-29,Test-Lauf 12:11,6Chicken9,POP,solana,12:13,0.00003975,rekonstruiert,0.00004612,16.03,"beobachtet (Nachbeobachtung ca. 23:35 statt 22:00 - Task-Fehler heute, siehe Hinweis)"
2026-07-30,Morgen-Scan,Broetchen,Broetchen,solana,08:33,0.0006624,live,0.0005455,-17.65,beobachtet
2026-07-30,Morgen-Scan,RebootCat,REBOOT,solana,08:33,0.00007197,live,8.159e-05,13.37,beobachtet
2026-07-30,Nachmittags-Scan,frink,frink,solana,15:03,0.000009772,live,9.012e-06,-7.78,beobachtet
2026-07-31,Morgen-Scan,Mad Fuel,MFUEL,solana,07:04,0.00003700,live,3.432e-05,-7.24,beobachtet
2026-07-31,Morgen-Scan,Dottie the Dwarf,DOTTIE,solana,07:04,0.000002473,live,2.167e-06,-12.37,beobachtet
2026-07-31,Nachmittags-Scan,Safevano Wallet,SAFEVANO,robinhood,15:05,0.01796,live,0.01765,-1.73,beobachtet
2026-08-01,Morgen-Scan,Just Imagine,IMAGINE,robinhood,07:04,0.00005980,live,0.00005980,0.00,beobachtet
2026-08-01,Morgen-Scan,Proof Of Bagwork,POB,solana,07:04,0.00008896,live,0.00007971,-10.40,beobachtet
2026-08-01,Nachmittags-Scan,bleh cat,:p,solana,15:01,0.0002024,live,0.0002143,5.88,beobachtet
2026-08-01,Abend-Scan,Fapcoin,Fapcoin,solana,22:02,0.0004654,live,,,"gefunden (Abend-Scan, kein weiterer Nachbeobachtungslauf im Skill vorgesehen)"
2026-08-01,Abend-Scan,The Border Patrol Agent,ORCA,solana,22:02,0.00003258,live,,,"gefunden (Abend-Scan, kein weiterer Nachbeobachtungslauf im Skill vorgesehen)"
2026-08-02,Morgen-Scan,LUNA CLASSIC,LUNC,solana,07:01,0.0001785,live,,,ausstehend (22-Uhr-Lauf steht noch aus)
